customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,churn
1,22,3,29.90,89.70,4,Month-to-month,Fiber optic,Electronic check,1
2,35,18,56.20,1011.60,1,One year,DSL,Credit card,0
3,45,40,72.80,2912.00,0,Two year,Fiber optic,Bank transfer,0
4,29,5,84.30,421.50,5,Month-to-month,Fiber optic,Electronic check,1
5,61,58,44.50,2581.00,0,Two year,DSL,Credit card,0
6,38,12,65.10,781.20,2,Month-to-month,DSL,Electronic check,1
7,54,47,89.20,4192.40,1,One year,Fiber optic,Credit card,0
8,26,2,35.40,70.80,3,Month-to-month,DSL,Electronic check,1
9,48,33,51.70,1706.10,1,One year,DSL,Bank transfer,0
10,31,8,78.90,631.20,4,Month-to-month,Fiber optic,Electronic check,1
11,67,64,39.80,2547.20,0,Two year,DSL,Bank transfer,0
12,41,24,69.00,1656.00,2,One year,Fiber optic,Credit card,0
13,23,1,91.30,91.30,6,Month-to-month,Fiber optic,Electronic check,1
14,57,52,47.90,2490.80,0,Two year,DSL,Credit card,0
15,36,15,74.20,1113.00,3,Month-to-month,Fiber optic,Electronic check,1
16,44,31,59.60,1847.60,1,One year,DSL,Bank transfer,0
17,28,6,88.10,528.60,5,Month-to-month,Fiber optic,Electronic check,1
18,52,43,63.40,2726.20,1,One year,Fiber optic,Credit card,0
19,64,61,41.20,2513.20,0,Two year,DSL,Bank transfer,0
20,33,10,82.50,825.00,4,Month-to-month,Fiber optic,Electronic check,1
21,49,36,55.90,2012.40,1,One year,DSL,Credit card,0
22,25,4,76.80,307.20,4,Month-to-month,Fiber optic,Electronic check,1
23,58,55,46.30,2546.50,0,Two year,DSL,Bank transfer,0
24,39,20,68.70,1374.00,2,One year,Fiber optic,Credit card,0
25,30,7,86.40,604.80,5,Month-to-month,Fiber optic,Electronic check,1
26,46,38,52.10,1979.80,1,One year,DSL,Credit card,0
27,62,60,43.70,2622.00,0,Two year,DSL,Bank transfer,0
28,27,3,80.20,240.60,5,Month-to-month,Fiber optic,Electronic check,1
29,51,42,61.80,2595.60,1,One year,Fiber optic,Credit card,0
30,34,11,77.30,850.30,3,Month-to-month,Fiber optic,Electronic check,1
31,56,49,50.40,2469.60,0,Two year,DSL,Bank transfer,0
32,42,26,66.10,1718.60,1,One year,Fiber optic,Credit card,0
33,24,2,93.20,186.40,6,Month-to-month,Fiber optic,Electronic check,1
34,60,57,45.20,2576.40,0,Two year,DSL,Credit card,0
35,37,16,73.40,1174.40,3,Month-to-month,Fiber optic,Electronic check,1
36,47,35,58.80,2058.00,1,One year,DSL,Bank transfer,0
37,29,5,85.90,429.50,5,Month-to-month,Fiber optic,Electronic check,1
38,53,44,62.70,2758.80,1,One year,Fiber optic,Credit card,0
39,65,63,40.90,2576.70,0,Two year,DSL,Bank transfer,0
40,32,9,81.60,734.40,4,Month-to-month,Fiber optic,Electronic check,1
